symptoms,sentences
"['hemorrhoid', 'Blood in stool', 'Black stool']","In general, digestive tract bleeding, the entire stool is black, as black as coal, the stool of hemorrhoids is bloody, usually on the surface of the stool, or dripping blood during defecation, or blood when rubbing at the end. Consider hemorrhoids in combination with symptoms. Don't worry, this has a high incidence in autumn and winter."
['fever'],"🈶If you have fever, consider gastroenteritis. Is it better now?"
"['indigestion', 'Gastrointestinal disorders']","From your description of the symptoms, consider that the intestinal flora disorder causes indigestion and the absorption function is weakened. First, change your eating habits and focus on light and easy-to-digest foods. At the same time, take Pefikang orally."
"['stomach ache', 'fever']","Hello, is the belly button outside? Does it hurt? Do you have a fever?"
['Bloating'],Do you have bloating and how about your stool?
['fever'],"Hello, are there any other symptoms? Stool several times a day. Do you have a fever?"
['diarrhea'],Do you have diarrhea now?
['diarrhea'],There is no need to take those two medicines and there is no diarrhea. Do you usually drink.
['exhaust'],"The fart is mostly a fast bowel movement. It is recommended to observe for a few days, do not take medicine, and see what the stool is."
['indigestion'],"That's not a big problem, because you have indigestion, you need to exercise properly, and you can take some Simotang oral liquid."
['Bloating'],"The most important thing is to exercise more and exhaust more, and there will be no constipation and flatulence."
"['Bloating', 'Hiccup', 'Reflux']","Hello, how long has it been bloating? Are there any other symptoms? Such as acid reflux, hiccups."
['stomach ache'],The possibility of gastroenteritis is great! Do you have cramps in your stomach?
['Gastrointestinal discomfort'],So far it is. It's easy to eat seafood like this! Don't eat like this if the gastrointestinal function is not good.
"['Reflux', 'Heartburn']",Are there symptoms of acid reflux and heartburn?
"['Bloating', 'Hiccup']","Recently, I have symptoms of abdominal distension and hiccups. You can add some medicine to promote gastric motility."
['Gastrointestinal discomfort'],"If you feel uncomfortable in your stomach, you can temporarily drink some Kangfuxin liquid. Usually drink on an empty stomach."
"['Bloating', 'Hiccup']","Recently, if you have symptoms of abdominal distension and hiccups, you can add domperidone and other digestive medicines."
['Gastrointestinal discomfort'],"You can eat according to the opinion of the ENT doctor, but if your stomach is not good, pay attention to taking Nexium (inhibit gastric acid) to protect your stomach at the same time!"
['exhaust'],Did you fart? Do you eat regularly? Do you usually eat a lot of vegetables?
['Reflux'],Consider inadvertent diet and bile reflux.
['stomachache'],Does the stomach hurt?
['indigestion'],Still not digested well. Are you pregnant?
['stomach ache'],"Hello, there is pain on the belly button or under the belly button?"
"['Blood in stool', 'Black stool', 'Hematemesis']","If you don't pass black stools and don't vomit blood, the problem is not big."
['diarrhea'],Do you have diarrhea?
['stomach ache'],Does the right abdomen continue to hurt? Does it hurt when pressed.
['Loose stool'],"Hello, the stool is dry or thin, whether it is easy to solve."
"['stomach ache', 'Bloating', 'Vomit', 'Hiccup']","Do you have other symptoms such as abdominal pain, bloating, vomiting, and hiccups?"
['Loose stool'],"Stool is dry or loose, please be clear about it."
['Perianal pain'],"Rough stools may cause anal damage, anal fissures, and pain symptoms."
['hemorrhoid'],"One more, do you have hemorrhoids."
['hemorrhoid'],Hemorrhoids are divided into internal hemorrhoids and external hemorrhoids. You are talking about external hemorrhoids. Is there any bleeding?
"['nausea', 'Vomit']","Whether there is nausea, vomiting, etc."
"['diarrhea', 'stomach ache']",Easy to digest diet. Does the stomach still hurt? Do you have diarrhea.
['diarrhea'],"What a strange method, is there any diarrhea?"
['fever'],Do you have a fever. Did the doctor say that it might be appendicitis?
"['stomach ache', 'fever']","Then pay attention to see if the abdominal pain is severe or if there is fever, and if there is any, go to the hospital immediately."
"['nausea', 'Vomit', 'Reflux', 'Heartburn']","Heartburn, acid reflux, nausea and vomiting, feeling of fullness?"
['diarrhea'],How is the diet? Spicy and stimulating food? Cold stuff? Is the diet regular? Do you have diarrhea.
"['diarrhea', 'Gastrointestinal discomfort']",Is it uncomfortable above the belly button? Do you have diarrhea?
['Sticky stool'],Whether there is any mucus or pus or blood in the stool.
"['stomach ache', 'Bloating', 'exhaust']",Do you have abdominal pain or bloating? Do you have a lot of gas?
['Gastrointestinal disorders'],"You have to consider two possibilities in this situation. One is that it may be related to colitis, and the other is that it may be related to intestinal dysfunction."
['stomach ache'],"Excuse me, where is the lower abdominal pain, on the left and right? How long has it been, is it painful?"
"['diarrhea', 'Bloating', 'fever', 'nausea', 'Vomit', 'Frequent urination']","Do you have nausea, vomiting, bloating, fever, constipation, diarrhea? Is it normal? Frequent urination, age painful urination?"
"['diarrhea', 'Bloating', 'fever', 'nausea', 'Vomit', 'Frequent urination']","Do you have nausea, vomiting, bloating, fever, constipation, diarrhea? Is it normal? Frequent urination, age painful urination? ?"
"['diarrhea', 'Bloating', 'fever', 'nausea', 'Vomit', 'Frequent urination']","Do you have nausea, vomiting, bloating, fever, constipation, diarrhea? Is it normal? Do you have painful urination at age?"
['stomach ache'],"If the abdominal pain has not been relieved or it takes a long time, it is recommended to go to the hospital for a detailed abdominal physical examination. The lower abdomen is pressed and palpated to judge the condition. Check the hematuria routine, abdominal B-ultrasound and abdominal X-ray. Eliminate ureteral calculus, abdominal lymphadenitis, chronic appendicitis and other problems, and treat symptomatically in time!"
['stomach ache'],"If you have abdominal pain for so long, it’s best to check it out, or as a health check-up."
['stomach ache'],"If you have irregular menstruation and frequent lower abdomen pain, check gynecological color Doppler ultrasound at the same time to rule out gynecological problems."
"['diarrhea', 'Vomit']","Hello, did you eat anything spicy or cold? Do you have diarrhea, vomiting, etc.?"
"['stomachache', 'Heartburn']",Is it a stomachache or a burning sensation?
['nausea'],"If you feel nauseous now, you can take some Huoxiang Zhengqi water."
['Blood in stool'],Is there a mixture of stool and blood? Is it blood?
['hemorrhoid'],Do you have hemorrhoids?
['Perianal pain'],There is discomfort and pain in the anus.
['hemorrhoid'],"If the colonoscopy is not a big problem, you need to look for hemorrhoids."
['hemorrhoid'],"If it is hemorrhoids, the problem is not big."
['anemia'],"For example, chronic anemia, pelvic inflammatory disease, endometritis, uterine fibroids, dysfunctional bleeding, endometriosis, placement of IUDs, etc. can cause menstrual prolongation."
['Blood in stool'],What is the stool? Is blood in the stool blood?
"['Blood in stool', 'Perianal pain']",Does the anus hurt after having blood in the stool?
['hemorrhoid'],"Western medicine in your situation should consider perianal bleeding, which may be caused by hemorrhoids or anal fissure."
['hemorrhoid'],"Don't worry, in this case, you usually pay attention to keep your stool smooth, eat more crude fiber food, eat more fruits and vegetables, such as celery banana, drink more water or honey water, and pay more attention to exercise and eat less spicy food. At the same time, after washing with warm water, Mayinglong hemorrhoid ointment or dragon ball ointment can be used externally."
['diarrhea'],"Hello, is it always hurting or is it painful for a while. Do you have diarrhea?"
['diarrhea'],Do you still want to have diarrhea now?
"['diarrhea', 'stomach ache']",Will the abdominal pain get better after the diarrhea?
['Cramps'],Your irritation from eating ice caused intestinal cramps.
['Loose stool'],"Hello, how long has your stool been unformed?"
"['diarrhea', 'stomach ache', 'Loose stool', 'Gastrointestinal discomfort']","How often do you have gastrointestinal discomfort? Such as diarrhea, irregular stool, abdominal pain, or other conditions."
"['Blood in stool', 'Black stool']","Have you ever solved bloody stools, black stools?"
['Loose stool'],Was it because the stool was not formed at the time to check it.
"['diarrhea', 'Loose stool', 'exhaust']","Summarize your symptoms. Unformed stools, easy diarrhea, increased anal gas, and sometimes mucus in bowel movements."
['Restless'],"It is recommended to review colonoscopy to exclude intestinal organic diseases, such as intestinal tumors. If there is no organic disease, it is necessary to consider functional bowel diseases such as irritable bowel syndrome. Irritable bowel syndrome is a benign disease with a good prognosis. Symptomatic treatment is the main treatment. The general symptoms of anxiety can be improved by controlling it."
['diarrhea'],"If you have a bowel movement 2 to 3 times a day, it is not diarrhea. It's also normal."
"['nausea', 'Vomit']",How long have you been feeling sick and wanting to vomit?
['stomach ache'],Do you have abdominal pain. Which location of the pain is specific.
['Loose stool'],Is the stool watery or watery? How many times do you pull in a day?
"['diarrhea', 'stomach ache']",Where is the stomachache? Have you taken any medicine for your diarrhea?
['cough'],Do you have a cough.
['diarrhea'],Did you eat unclean food or cold food or spicy food before you had diarrhea?
['Sputum'],How long has there been blood in the sputum?
['Sore throat'],Sore throat is not itchy or not.
"['nausea', 'Vomit']","Hello, do you have any symptoms of dry mouth, retching, or nausea."
"['stomachache', 'Reflux', 'Heartburn']","Is there any symptoms of esophageal reflux, heartburn, or stomach pain? How about appetite."
['indigestion'],There may be gastritis and indigestion. Have you checked the gastroscope before?
['Reflux'],It may be reflux.
"['Reflux', 'Heartburn', 'cough']","The typical symptoms of gastroesophageal reflux are heartburn and reflux, but there are also atypical manifestations, such as not behind the sternum, choking, and chronic coughing."
"['nausea', 'Vomit']","If it slips out, the nutrient solution injected will stay in the stomach, and he will quickly become nauseous and vomiting."
"['stomach ache', 'Bloating', 'nausea', 'Vomit', 'Reflux', 'Heartburn']",How about eating recently? Do you have abdominal pain or bloating? feel sick and vomit? Discomfort such as acid reflux and heartburn?
"['indigestion', 'Gastrointestinal disorders']","One situation is due to indigestion or gastrointestinal dysfunction, which can be improved by taking intestinal probiotics. Usually you need to pay attention to keeping warm, and pay attention to the rules of life, drink plenty of water, eat more fruits and vegetables, avoid spicy and irritating foods, and also pay attention to improving physical fitness and dietary hygiene to improve."
"['Bloating', 'Reflux']",How have you been eating for the past ten days? Do you have appetite or feel discomfort such as stomach bloating or acid reflux?
['Gastrointestinal discomfort'],Abdominal discomfort is considered to be related to changes in stool conditions.
['allergy'],This is an anti-allergic medicine. There is no problem with eating.
['allergy'],"If you are considering allergies, take loratadine first."
"['stomach ache', 'Bloating']",Do you have abdominal pain? Is the abdomen full or which part is more obvious?
['indigestion'],You still consider that indigestion may eat some mosapride pancreatic enzyme capsules Bifidobacterium.
['Reflux'],"Well, it may be considered chronic gastritis, with symptoms of acid reflux. Is there any medication?"
['allergy'],"Hello, do you have a rash on your body? Have you had any seafood allergies before?"
"['Dizziness', 'allergy', 'Difficulty breathing']","According to your symptoms, if you still feel uncomfortable, have difficulty breathing, dizziness, skin rash, etc., you should go to the hospital in time. In addition, if you have allergies, avoid this kind of food in the future."
['Helicobacter infection'],"Hello! Friends, these three drugs can treat Helicobacter pylori infection."
['Bloating'],Is the bloating still serious now?
"['Bloating', 'Hiccup', 'Gastrointestinal disorders']",Abdominal distension and hiccups are the problems of gastrointestinal dysfunction. Mosapride can only be used as an auxiliary medicine. It is recommended to exercise more.
['Bloating'],"Milk is prone to bloating, so drink as little as possible. You can drink it to see if it is full."
"['Bloating', 'stomachache', 'fever']","Is it stomach pain and bloating? How many times did you pull it? Is there any blood, is there a fever,"
['Dehydration'],"Well, let’s take a light diet these past two days, drink some porridge, eat some pickles, have a small amount of porridge, drink plenty of warm water, don’t get dehydrated, buy a medicine for the whole intestine ➕ Shi Lin, and try to rest in bed."
['Gastrointestinal discomfort'],"If there are no other problems, it may be poor absorption from the gastrointestinal tract."
['Blood in stool'],"If there is mucus and blood in the stool, it is best to check the colonoscopy."
['Blood in stool'],"Bacterial dysentery, severe enteritis, and ulcerative colitis can all cause mucus and blood in the stool."
"['Loose stool', 'Blood in stool', 'Black stool']","Is it into shape? Are there black stools, bloody stools? Stool once every few days."
['Black stool'],"If you have dark stools, you are thin and anorexia."
['Anorexia'],Gastroenterology. Don't want to eat.
['Blood in stool'],Have pus and blood in the front stool?
['diarrhea'],"Well, how long has it been. Drink some warm water. Drinking digestible foods such as millet porridge and noodles. Usually pay attention to eating habits, maintain a good mood, eat more fruits and vegetables, and develop healthy eating habits. Don't eat spicy food. If you have diarrhea, you can consider taking Zhengchangsheng or Bacillus subtilis combined treatment."
['Restless'],"Well, don't be too anxious and worry, just adjust it as I said."
['stomach ache'],Upper abdomen or lower abdomen pain?
"['Hiccup', 'Reflux']",Do you usually hiccup and regurgitate the acid?
"['diarrhea', 'fever']","Because diarrhea drains the body's water, if you drink less water and the amount of fluid is insufficient, you will have a slightly low fever."
"['stomachache', 'Black stool', 'Perianal pain']","Hello, except for black stool, do you have a stomachache?"
['Gastrointestinal discomfort'],Does the stomach or tummy feel uncomfortable?
['hemorrhoid'],It should be hemorrhoids.
['Blood in stool'],"Stool with blood, is there any blood on toilet paper after defecation?"
['hemorrhoid'],"Hemorrhoids are very common, so don't worry too much."
['hemorrhoid'],"Hemorrhoids are changes or displacements of the veins near the anus, and generally do not require surgical treatment. If the symptoms do not relieve within 5 days, go to the anorectal department."
['Bloating'],"Now my stomach is not up, so I don’t need to take medicine."
"['Bloating', 'hemorrhoid']","Stomach bloating after a meal is a manifestation of gastritis, which is not directly related to hemorrhoids."
"['Reflux', 'Heartburn']",Are there acid reflux heartburn? Is the stool normal?
['Cramps'],That may be stomach cramps. You can take colloidal pectin bismuth capsules for a few days.
"['Hiccup', 'Reflux']",Hi! How long has this situation been? Do hiccups regurgitate acid water?
['diarrhea'],Uh-huh. Diarrhea?
['Gastrointestinal disorders'],"Consider gastritis, gastrointestinal dysfunction may be. How is the usual diet?"
['Gastrointestinal discomfort'],"Yes, it is recommended to quit smoking. The substance in the cigarette is not good for the stomach."
['Gastrointestinal discomfort'],Do you have stomach upset at 11 or 12 o'clock at night?
"['Bloating', 'stomachache']","In addition to stomach acid, do you have stomach bloating and stomach pain?"
"['Gastrointestinal discomfort', 'stomachache']","Consider gastritis, fasting stomach discomfort, if there is stomach pain in the middle of the night. Do not rule out combined duodenal ulcer. Uh-huh,"
['Bowel'],"However, if conditions permit, it is best to improve the gastroscopy. Alcohol has a great effect on the stomach."
['Helicobacter infection'],Has Helicobacter pylori been killed?
['Bloating'],Are there other diseases? Such as gallstones. Is there bloating?
['Helicobacter infection'],"Depending on your usage and medicine, the treatment of Helicobacter pylori is not standardized enough, and some medicines have been used for too long."
['sense of hunger'],"Excessive gastric acid secretion stimulates the gastric mucosa and produces a noisy sensation similar to hunger. Oral medication is needed to relieve it. It is recommended to take Daxi tablets orally for 3-5 days of treatment and observation. The usual diet should be light, avoid greasy, irritating and spicy foods, and avoid sweet and sour foods. When occasional stomach hunger occurs, it is recommended to take soda crackers to relieve it. Omeprazole can be taken orally."
"['Reflux', 'Heartburn']",Is there any acid reflux heartburn?
"['fever', 'Vomit', 'Reflux', 'sense of hunger']","Excuse me, apart from hunger, are there fever, acid reflux, vomiting, etc.?"
['Gastrointestinal disorders'],"At present, considering the possibility of gastritis or gastrointestinal dysfunction, it is relatively high!"
['stomach ache'],"Abdominal pain is also possible. Pay attention to keeping your abdomen warm in the morning and evening. Drink plenty of warm water. You can also use local massage or hot compress to relieve the symptoms. If there is pain, take a bit of diacetylene tablets 10mg orally twice a day to relieve the symptoms, okay?"
"['diarrhea', 'fever', 'Vomit', 'Reflux', 'Blood in stool', 'Black stool']","Do you have fever, acid reflux, vomiting, etc.? Is it normal? Do you have diarrhea, or constipation? How often do you have a bowel movement? ? Is there any amount of black stool? How many black stools per day? Is there blood in the stool?"
"['stomach ache', 'Cramps']",Abdominal pain may be caused by intestinal spasm.
['nausea'],"Now it's mainly nausea, right, nothing else is uncomfortable."
['Gastrointestinal discomfort'],"Improper diet, cold, emotional stress, and colds may all cause stomach discomfort."
['Lack of energy'],"Don't worry, these medicines won't make you sleepy, unlike cold medicines."
['Vomit'],"Well, the first consideration is acute gastroenteritis. If you don’t have vomiting and you can eat, you can drink some easy-to-digest things such as rice porridge in the past two days, and then eat Zhengchangsheng capsules and montmorillonite powder to stop diarrhea and regulate the intestinal flora."
"['fever', 'Vomit']","If you have a fever or have severe vomiting, you must go to the hospital. At home, drink white porridge first, and eat pickles."
"['stomach ache', 'Bloating', 'fever', 'nausea', 'Vomit']","Abdominal pain, bloating, nausea and vomiting, fever? Is the stool normal?"
['Dehydration'],"If the symptoms are not relieved repeatedly, go to the hospital to check blood electrolytes. If necessary, dehydration can be observed by infusion."
['stomach ache'],"Hello, is it the pain under the ribs or the ribs?"
['stomachache'],You still have a stomachache. Have you had a gastroscope?
"['Reflux', 'Heartburn']",Are there other discomforts besides the pain? Such as acid reflux heartburn?
"['diarrhea', 'stomach ache', 'Bloating', 'nausea', 'Vomit', 'Reflux', 'Heartburn']","There may be bloating, heartburn, acid reflux, abdominal pain, nausea and vomiting, diarrhea, etc. You can find out on the Internet."
['diarrhea'],"Generally, there will be no problems. Drink plenty of water to promote excretion."
"['diarrhea', 'stomach ache']","Diarrhea, abdominal pain is often or occasionally."
['Gastrointestinal disorders'],You should belong to a gastrointestinal disorder!
['Gastrointestinal disorders'],"Yeah, I got it! You should be caused by gastrointestinal disorders!"
['Gastrointestinal disorders'],"Well, gastrointestinal dysfunction! If you want to rule out whether there are organic diseases in the intestine, you need to do colonoscopy!"
['indigestion'],"Has any check been done? Currently, functional dyspepsia is considered."
"['Helicobacter infection', 'Blood in stool']","It is recommended to go to the hospital’s gastroenterology department to check hematuria and stool routine, fecal occult blood, electrolytes, blood sugar, liver function, kidney function, gastroscopy and Helicobacter pylori examination, colonoscopy and other examinations."
['Fatigue'],"At the same time, it is recommended that you take part in more outdoor sports, distract your attention, enrich your diet, and strengthen nutrition. Your limbs are uncomfortable, sleepy, and fatigued, and you will slowly get better."
['Anorexia'],right. This is the reason why you can't eat.
['Gastrointestinal discomfort'],The small bowel examination is not very good.
['Gastrointestinal discomfort'],"The capsule endoscopy may be checked first, first to see if there is any abnormality in the small intestine."
"['Bloating', 'nausea', 'Hiccup', 'Reflux']","Hello, do you usually have symptoms of acid reflux, nausea, belching, and abdominal distension."
['Loose stool'],Unformed stool?
['Loose stool'],How long has the stool been deformed?
['Loose stool'],It is best to do colonoscopy. Because your bowel movements are not formed for a long time.
"['Bloating', 'Hiccup', 'Reflux']","Oh, except for stomach cold. There are other symptoms such as discomfort, soreness, hiccups, and abdominal distension."
['Gastrointestinal disorders'],"Consider the intestinal dysfunction, take medicine for a few days."
['Gastrointestinal disorders'],"Considering the possibility of intestinal dysfunction, take medicine for a few days."
['stomach ache'],"Hello, where does the stomach hurt, the specific part. Above the belly button or below the belly button."
"['Hiccup', 'Reflux']",Will the acid water hiccup?
['hemorrhoid'],"In this case, hemorrhoids or anal fissures are generally considered."
['hemorrhoid'],"In this case, hemorrhoids should be considered first."
['hemorrhoid'],Use hemorrhoid cream after washing with warm water after bowel movements.
['indigestion'],"At such a young age, what's indigestible? It's not an old man, don't eat too hard, just chew and swallow."
['diarrhea'],"Hello, how many times did you have diarrhea?"
['Gastrointestinal discomfort'],"Is it uncomfortable now, is it gastrointestinal discomfort or backache?"
['diarrhea'],"Oh, it may be that the lumbar spine is usually not good, and then the symptoms of diarrhea have caused the soreness of the psoas muscles, there is no problem, don't worry."
['Gastrointestinal discomfort'],"If the stomach is not good, you can eat some probiotics, you can eat some omeprazole and the like."
['indigestion'],"Hello, I am glad to serve you. Will do. Indigestible."
['hemorrhoid'],Are there hemorrhoids.
['hemorrhoid'],Bleeding is a hemorrhoid problem. Other symptoms consider gastroenteritis.
['indigestion'],"Initially considering the indigestion situation, it is recommended not to eat too much, avoid sweets, spicy and greasy food, and run outdoors every day."
['Helicobacter infection'],Check for Helicobacter pylori infection?
['Helicobacter infection'],"Well, most gastritis is related to Helicobacter pylori infection, and it is easy to relapse."
['Helicobacter infection'],The standard treatment for gastritis with Helicobacter pylori infection.
"['Bloating', 'stomachache']","In addition to stomach pain, bloating, stomach acid."
['stomachache'],Do you usually have stomachache? Irregular diet.
['exhaust'],"Hmm, not much fart."
['Gastrointestinal disorders'],"Hmm... Consider gastritis, intestinal dysfunction, and constipation based on physical examination and performance."
['bitter'],"In addition, if you have a bitter mouth and have cholecystitis, if you have liver and gallbladder diseases, it is recommended to use Jigucao Capsules."
['Loose stool'],Is it mainly because the stool is loose?
['Helicobacter infection'],"Hello, there is no major problem, duodenal bulb ulcer, we need to check Helicobacter pylori."
['Restless'],Anxiety affects the stomach. Don't be hungry. Eat three meals on time.
['Gastrointestinal discomfort'],Often hungry is bad for the stomach.
['diarrhea'],Do you have diarrhea?
['diarrhea'],"Severe diarrhea, take Changyanning. Montmorillonite powder can stop diarrhea."
['stomach ache'],Does your stomach hurt?
['Sputum'],"Have you not checked lung CT, tuberculosis, sputum examination, etc.?"
"['fever', 'weight loss', 'cough', 'Shortness of breath']","For example, whether there is a change in weight, whether you are afraid of cold or fever, whether there is chest tightness when you cough, and shortness of breath, and how is your bowel movement."
['cough'],"You usually have a bad throat after coughing, or do you cough after itching."
['cough'],"Judging from the current symptoms, there are several things that need to be ruled out, such as variant cough, mycoplasma pneumonia, tuberculosis, and pharyngitis. It is not convenient for you to go to the system for a check."
['fever'],Has the chocolate expired? What else did you eat besides chocolate? Is there a fever?
['stomach ache'],You still consider acute gastroenteritis. Does the stomach hurt?
['indigestion'],"Considering that it is caused by indigestion and other diseases, you can take lactic acid bacteria tablets."
['indigestion'],"Your situation is considered to be caused by gastritis with indigestion. You can take oral medication to relieve the symptoms and pay attention to diet. If the symptoms are not relieved, it is recommended to go to the hospital for gastroscopy."
['indigestion'],Do you feel indigestible after meals?
['diarrhea'],Hello! How many times have you had diarrhea?
"['stomach ache', 'Bloating', 'nausea', 'Vomit']","Do you have nausea, vomiting, abdominal pain and bloating?"
"['diarrhea', 'stomach ache']","Hello, do you have abdominal pain and diarrhea only these few days? Has it ever appeared before?"
"['Frequent urination', 'Urgency']",Is it normal to urinate? Do you have frequent urination and urgency and painful urination?
['stomach ache'],"Because general acute gastroenteritis does not cause severe pain, it is necessary to rule out whether it is combined with other problems that cause acute abdominal pain."
['stomach ache'],Do you have radiating pain in the back and groin?
['stomach ache'],Severe abdominal pain needs to be ruled out related to acute abdomen.
['diarrhea'],How many diarrhea do you still have a day?
['stomach ache'],Does abdominal pain occur paroxysmal or persist?
"['nausea', 'Reflux', 'Heartburn']","Nausea, acid reflux, heartburn?"
['diarrhea'],"Hello, do you still have diarrhea now?"
['Bloating'],Do you have bloating or bloating around your belly button.
"['Bloating', 'stomachache']",Does the stomach feel upset or painful?
['stomach ache'],"Pinaverium bromide tablets, bifidobacteria quadruple viable bacteria tablets, Changyanning, trimebutine, if you have no abdominal pain, stop taking pinaverium bromide tablets."
['hemorrhoid'],"OK. It has nothing to do with this, but constipation can cause hemorrhoids to worsen."
['Black stool'],Is the stool normal? Is the color normal? Is there any black loosing situation? still there?
['hemorrhoid'],Go to the anorectal department to check for hemorrhoids or anal fissures.
['hemorrhoid'],Grooves may be caused by hemorrhoids.
['stomach ache'],"Sorry, I've been waiting for a long time. Is the pain on the belly button or under the belly button in the middle of the belly?"
['hemorrhoid'],The groove should be caused by hemorrhoids or anal fissures near the anus.
['Perianal pain'],Does the anus hurt after going to the toilet?
['Gastrointestinal discomfort'],You can drink as long as there is no stomach upset!
['stomach ache'],"Excuse me, where is the specific location of abdominal pain? Is the pain severe?"
"['diarrhea', 'Bloating', 'fever', 'nausea', 'Vomit']","Do you have nausea, vomiting, bloating, fever, diarrhea? Is it normal? Is menstruation normal?"
['stomach ache'],"If the bellyache lasts for a long time, and if the bellyache transfers to the right lower abdomen, or if the bellyache gets worse, please consult a doctor in time to rule out appendicitis or other diseases!"
['Loose stool'],"Oh, it is recommended to check the stool. Exclude inflammatory diseases. Is the stool all loose?"
['Helicobacter infection'],Is there a Helicobacter pylori infection.
['Helicobacter infection'],Also check for Helicobacter pylori infection.
['Gastrointestinal disorders'],"Your situation should be a gastrointestinal disorder. Of course, it is necessary to exclude other diseases of the intestinal tract. Colonoscopy can be ruled out!"
"['indigestion', 'Gastrointestinal disorders']","Regulating gastrointestinal dysfunction program: Trimebutine three times a day, 1-2 tablets each time. Jin Shuangqi three times a day, two tablets each time. Oryzanol is two tablets three times a day. If you have poor digestion and more food residues, you can add multi-enzyme tablets three times a day, three tablets each time."
"['stomach ache', 'Hiccup', 'Anorexia']","Gastrointestinal dysfunction and secretory dysfunction, frequent discomfort, fullness, anorexia, belching, constipation, abdominal pain, etc., standing for a long time after a meal and aggravation after fatigue; physical examination is generally thin, and sometimes the lower abdomen looks like a gourd when standing. ""In appearance, there may be vibrating sound in the stomach area, and obvious abdominal aortic pulsation is easily palpable in the upper abdomen, usually accompanied by the drooping of organs such as liver, spleen, kidney and colon. Suspected gastroptosis patients mainly rely on X-ray examination to confirm the diagnosis."
['Gastrointestinal disorders'],Gastrointestinal disorders!
['indigestion'],"There is no alert tone when the information comes, only now I see it! Fish can be eaten. Avoid raw, cold, and hard foods when eating. Potatoes and sweet potato starch are heavy and not easy to digest. Eat less!"
"['stomach ache', 'Bloating', 'Hiccup']","Do you have other symptoms such as abdominal pain, bloating, hiccups, and pantothenic acid?"
['diarrhea'],This is a medicine for diarrhea.
['diarrhea'],"You have no diarrhea, so it is not suitable for eating."
['Heartburn'],"How long has this situation been? Hi! Are there any other symptoms that need to be supplemented? Is there pantothenic acid water, heartburn?"
['Blood in stool'],"Periods will not be checked, unless severe blood in the stool. Doctor hand consultation or proctoscope."
['stomach ache'],Does the stomach hurt? How is the diet?
"['Bloating', 'indigestion']",Is there anything you can't digest for flatulence?
['stomach ache'],Hi! Where is the specific location of your abdominal pain? Have a history of dysmenorrhea before?
['diarrhea'],How many days have you had diarrhea?
['Cramps'],Hi! You may have intestinal cramps and dysmenorrhea after being cold. It is recommended to go to the hospital's gastroenterology department or gynecological clinic for treatment.
['Gastrointestinal disorders'],"You're welcome, let's talk about excluding gynecological diseases. If there is no problem in gynecology, consider the intestinal dysfunction, just take some probiotic preparations."
['Helicobacter infection'],Has Helicobacter pylori been checked?
['Helicobacter infection'],Has Helicobacter pylori been checked?
"['Cramps', 'Gastrointestinal disorders']","It is not a big problem to consider a situation like yours. It should be considered as a disorder of gastrointestinal function. Pain is caused by intestinal spasm. In this case, you don't need to take medicine. You can live and eat regularly. Try not to eat the spicy and irritating cold. You can apply heat to the abdomen."
['diarrhea'],"Well, diarrhea is generally not long-term."
['diarrhea'],"Some people may have diarrhea if they drink milk, but you have it for a long time. Do it after cleansing the bowels."
['stomach ache'],There may also be stomach pains.
['exhaust'],"Hmm, how much fart?"
['stomach ache'],What is the main form of stool? Do you have abdominal pain before and after bowel movements?
['Gastrointestinal disorders'],Yep. The third type is still a bit constipation and intestinal dysfunction.
['Anorexia'],"For medicine, taking lactulose oral liquid and lactic acid bacteria tablets can moisturize the intestines and regulate bowel function. If you don't want to take medicine, drink more lactic acid bacteria and fermented yogurt. However, the treatment effect is not as good as taking medicine."
['Gastrointestinal disorders'],Disorders of the gastrointestinal tract can easily lead to acne on the face.
"['nausea', 'Vomit']",Do you have nausea or vomiting?
['Tensile and heavy'],Gynecological problems irritate the rectum. Cause tenesmus.
"['Bloating', 'Gastrointestinal discomfort', 'stomachache']",Do you still feel uncomfortable such as stomachache and bloating?
['stomach ache'],"It's not easy to get rid of it, because you also have abdominal pain."
"['stomach ache', 'exhaust']",Do you have abdominal pain? How much fart?
['weight loss'],Did you lose weight?
"['diarrhea', 'stomach ache']","Hello, did you have a stomachache before diarrhea? Have you caught a cold?"
['Vomit'],Is vomiting undigested food scraps?
['Sore throat'],Do you have any discomfort such as swollen throat and runny nose?
['Loose stool'],"Oh, is the stool watery or watery?"
['stomach ache'],"Oh, will the stomachache and other symptoms be relieved after the stool is relieved?"
"['diarrhea', 'stomach ache', 'Blood in stool']","In terms of symptoms, there are two possibilities: one is gastrointestinal cold, which may have cold symptoms such as uncomfortable throat, accompanied by diarrhea and abdominal pain; the other is acute gastroenteritis, which is related to the previous eating and cold. , Need to test stool, blood routine is clear,"
"['stomach ache', 'Bloating', 'Vomit', 'Hiccup']","Do you have other symptoms such as abdominal pain, bloating, vomiting, and hiccups?"
['Perianal pain'],Is there any pain in the anus? What checks have been done? What medicine have you taken?
